Miles,New Orleans Port Region,Laredo,Seattle,San Francisco,Long Beach,Great Lakes,Norfolk,Savannah
West River Transit,79.40,73.88,62.69,77.90,80.40,45.00,45.00,86.16
Vision Transportation of Elk River | Big Lake | Rogers | Zimmerman,62.54,71.86,77.32,94.05,91.86,28.66,28.66,69.83
River Cities Public Transit,70.96,65.29,64.61,76.30,73.98,43.28,43.28,79.34
Two Rivers Transportation,62.00,61.48,72.09,79.09,77.27,35.19,35.19,70.38
Blue Rivers Public Transportation,52.63,54.76,82.16,80.33,76.18,33.07,33.07,61.01
"Transport 360, LLC.",48.90,52.81,85.65,84.37,77.39,32.83,32.83,57.28
"Five Rivers Transport, LLC",46.59,52.12,87.99,86.72,79.00,34.22,34.22,55.12
East Side River Transportation Inc,38.67,57.91,98.78,97.51,88.53,24.83,24.83,44.23
River City Transportation,51.34,68.60,90.99,94.34,90.19,18.00,18.00,55.16
River Transportation Co,44.99,69.33,108.19,109.61,102.29,24.80,24.80,39.18
