Name,Adress,X,Y,USER_Destination
West River Transit,"3750 E Rosser Ave, Bismarck, ND 58501",-100.7336982,46.81058918,New Orleans Port Region
Vision Transportation of Elk River | Big Lake | Rogers | Zimmerman,"12508 Elk Lake Rd NW, Elk River, MN 55330",-93.584044,45.31900901,New Orleans Port Region
River Cities Public Transit,"1600 E Dakota Ave, Pierre, SD 57501",-100.33005,44.35828998,New Orleans Port Region
Two Rivers Transportation,"891 2 Rivers Dr, North Sioux City, SD 57049",-96.47836001,42.50758001,New Orleans Port Region
Blue Rivers Public Transportation,"107 S 9th St, Nebraska City, NE 68410",-95.85629666,40.67656071,New Orleans Port Region
"Transport 360, LLC.","1616 Stockyards Expy, St Joseph, MO 64501",-94.85662897,39.751208,New Orleans Port Region
"Five Rivers Transport, LLC","919 S 26th St, Kansas City, KS 66106",-94.65875897,39.08178499,New Orleans Port Region
East Side River Transportation Inc,"15 Bronze Pointe N A, Swansea, IL 62226",-89.98641317,38.56678275,New Orleans Port Region
River City Transportation,"1121 N 5th St, Clinton, IA 52732",-90.19073,41.85720999,New Orleans Port Region
River Transportation Co,"5297 River Rd, Cincinnati, OH 45233",-84.65002302,39.09257502,New Orleans Port Region
