scenario,subregion,management,level,2035,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0551425,2.39503,-4.7
SSP4,Great_Lakes_Basin,IRR,lo,0.0127383,2.39503,-4.7
SSP4,Missouri_River_Basin,IRR,lo,0.113348,2.39503,-4.7
SSP4,Upper_Mississippi_Basin,IRR,lo,0.0166,2.39503,-4.7
SSP4,Saskatchewan_Nelson,IRR,lo,0.00470841,2.39503,-4.7
SSP4,Ohio_River_Basin,IRR,lo,0.00699,2.39503,-4.7
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0551425,2.39503,-4.7
SSP4,Great_Lakes_Basin,IRR,lo,0.0127383,2.39503,-4.7
SSP4,Missouri_River_Basin,IRR,lo,0.113348,2.39503,-4.7
SSP4,Upper_Mississippi_Basin,IRR,lo,0.0166,2.39503,-4.7
SSP4,Saskatchewan_Nelson,IRR,lo,0.00470841,2.39503,-4.7
SSP4,Ohio_River_Basin,IRR,lo,0.00699,2.39503,-4.7
