scenario,subregion,management,level,2020,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.683,0.154842,-5.58
SSP4,Great_Lakes_Basin,RFD,hi,-1.10172,0.154842,-5.58
SSP4,Missouri_River_Basin,RFD,hi,-5.28,0.154842,-5.58
SSP4,Upper_Mississippi_Basin,RFD,hi,-3.30476,0.154842,-5.58
SSP4,Saskatchewan_Nelson,RFD,hi,-1.02,0.154842,-5.58
SSP4,Ohio_River_Basin,RFD,hi,-2.54946,0.154842,-5.58
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.683,0.154842,-5.58
SSP4,Great_Lakes_Basin,RFD,hi,-1.10172,0.154842,-5.58
SSP4,Missouri_River_Basin,RFD,hi,-5.28,0.154842,-5.58
SSP4,Upper_Mississippi_Basin,RFD,hi,-3.30476,0.154842,-5.58
SSP4,Saskatchewan_Nelson,RFD,hi,-1.02,0.154842,-5.58
SSP4,Ohio_River_Basin,RFD,hi,-2.54946,0.154842,-5.58
