scenario,subregion,management,level,2045,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.0486,2.84041,-6.12
SSP4,Great_Lakes_Basin,RFD,lo,0.267041,2.84041,-6.12
SSP4,Missouri_River_Basin,RFD,lo,0.17,2.84041,-6.12
SSP4,Upper_Mississippi_Basin,RFD,lo,0.614601,2.84041,-6.12
SSP4,Saskatchewan_Nelson,RFD,lo,0.424,2.84041,-6.12
SSP4,Ohio_River_Basin,RFD,lo,0.515331,2.84041,-6.12
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.0486,2.84041,-6.12
SSP4,Great_Lakes_Basin,RFD,lo,0.267041,2.84041,-6.12
SSP4,Missouri_River_Basin,RFD,lo,0.17,2.84041,-6.12
SSP4,Upper_Mississippi_Basin,RFD,lo,0.614601,2.84041,-6.12
SSP4,Saskatchewan_Nelson,RFD,lo,0.424,2.84041,-6.12
SSP4,Ohio_River_Basin,RFD,lo,0.515331,2.84041,-6.12
